Comment,Designator,Footprint,LCSC,Quantity
FPC 0.5mm 24P H2.0mm,P2,AFC07S24ECC00,C11092,1
FG26X7R1E106KRT06,C1,CAPRB500W50L550T350H600,,1
FG26X7R1E106KRT06,C2,CAPRB500W50L550T350H600,,1
Conn_01x24_Pin,J1,PinHeader_1x24_P2.54mm_Vertical,,1
