Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,FG26X7R1E106KRT06,CAPRB500W50L550T350H600,169.65,-105.8,90.0,top
C2,FG26X7R1E106KRT06,CAPRB500W50L550T350H600,169.65,-98.5,90.0,top
J1,Conn_01x24_Pin,PinHeader_1x24_P2.54mm_Vertical,141.02,-111.5,-90.0,top
P2,FPC 0.5mm 24P H2.0mm,AFC07S24ECC00,176.6,-103.75,90.0,top
